title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
WHITE GUMMY - BAR JUICE - 100ML,FIND BRAND,WHITE GUMMY - BAR JUICE - 100ML,$14.99,"Shop White Gummy by Bar Juice featuring a delectable freebase eJuice blend that recreates a delicious white gummy bear to tantalize the taste buds.
WHITE GUMMY - BAR JUICE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/white-gummy-bar-juice
PINK BURST - FRUITIA SALTS - 30ML,FIND BRAND,PINK BURST - FRUITIA SALTS - 30ML,$10.99,"Indulge in Pink Burst by Fruitia Salts, featuring a nicotine salt formulation that embodies the reminiscent flavors of chewy candy infused with ripe strawberries.
PINK BURST - FRUITIA SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
INCLUDES:
• 1 Pink Burst - Fruitia Salts - 30mL
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,,https://www.elementvape.com/pink-burst-fruitia-salts
PINK BURST - FRUITIA - 60ML,FIND BRAND,PINK BURST - FRUITIA - 60ML,$11.99,"Treat your taste buds to Pink Burst by Fruitia, featuring a delicious confection that will burst on the tongue with pure flavor starring sweet strawberries.
PINK BURST - FRUITIA - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/pink-burst-fruitia
SOUR FRUITY WORMS - POD JUICE - 30ML,POD JUICE,SOUR FRUITY WORMS - POD JUICE - 30ML,$10.99,"Check out the Sour Fruity Worms by Pod Salts, capturing a blend of sour gummy worms worked into a delicious eJuice that will tantalize the taste buds.
Sour Fruity Worms - Pod Juice - 30mL Features:
• Bottle Capacity: 30mL
• PG: 50%
• VG: 50%
• Formulation: Nicotine Salt
• Available Nicotine: 10mg, 20mg, 35mg, 55mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",,50%,50%,,,https://www.elementvape.com/sour-gummy-worms-pod-juice-salts
MOONROCKS - STRAWBERRY FROST - MR FREEZE - 100ML,FIND BRAND,MOONROCKS - STRAWBERRY FROST - MR FREEZE - 100ML,$13.99,"Check out Strawberry Frost Moonrocks by Mr. Freeze, capturing tart green apples and juicy strawberries with a blast of menthol in a decadent eJuice blend.
MOONROCKS - STRAWBERRY FROST - MR FREEZE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100ml Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/moonrocks-strawberry-frost-mr-freeze
FROZEN HULK TEARS STRAW MELON CHEW - HULK TEARS SALTS - 30ML,FIND BRAND,FROZEN HULK TEARS STRAW MELON CHEW - HULK TEARS SALTS - 30ML,$10.99,"Check out Frozen Hulk Tears Straw Melon Chew by Mighty Salts, a nicotine salt blend featuring vine-ripened strawberries, watermelon, and menthol notes.
FROZEN HULK TEARS STRAW MELON CHEW - MIGHTY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30ml Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/frozen-hulk-tears-straw-melon-chew-mighty-salts
HULK TEARS STRAW MELON CHEW - HULK TEARS SALTS - 30ML,FIND BRAND,HULK TEARS STRAW MELON CHEW - HULK TEARS SALTS - 30ML,$10.99,"Shop Hulk Tears Straw Melon Chew by Mighty Salts, a nicotine salt blend of sweet strawberry and watermelon melted into a deliciously balanced eJuice.
HULK TEARS STRAW MELON CHEW - MIGHTY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30ml Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/hulk-tears-straw-melon-chew-mighty-salts
FROZEN HULK TEARS STRAW MELON CHEW - HULK TEARS - 100ML,FIND BRAND,FROZEN HULK TEARS STRAW MELON CHEW - HULK TEARS - 100ML,$13.99,"Shop the Frozen Hulk Tears Straw Melon Chew by Mighty Vapors, featuring a delicious mixture of strawberry, watermelon, and menthol in a delightful eJuice.
FROZEN HULK TEARS STRAW MELON CHEW - MIGHTY VAPORS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100ml Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/frozen-hulk-tears-straw-melon-chew-mighty-vapors
HULK TEARS STRAW MELON CHEW - HULK TEARS - 100ML,FIND BRAND,HULK TEARS STRAW MELON CHEW - HULK TEARS - 100ML,$13.99,"Discover the Hulk Tears Straw Melon Chew by Mighty Vapors, featuring a blend of strawberry and watermelon in a delightfully sweet eJuice concoction.
HULK TEARS STRAW MELON CHEW - MIGHTY VAPORS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100ml Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/hulk-tears-straw-melon-chew-mighty-vapors
FROZEN BLUE RAZZ STRAW MELON CHEW - HULK TEARS SALTS - 30ML,FIND BRAND,FROZEN BLUE RAZZ STRAW MELON CHEW - HULK TEARS SALTS - 30ML,$10.99,"Shop Frozen Blue Razz Straw Melon Chew Hulk Tears by Mighty Salts, a blend of strawberry, blue raspberry, and watermelon with menthol in a nicotine salt mix.
FROZEN BLUE RAZZ STRAW MELON CHEW - HULK TEARS SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/frozen-blue-razz-strawmelon-chew-hulk-tears-salts
