tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
strawberry-cream-coastal-clouds-e-juice-60ml,Strawberry Cream Coastal Clouds E-Juice,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/strawberry-cream-coastal-clouds-e-juice-60ml
apple-peach-strawberry-coastal-clouds-e-juice-60ml,Apple Peach Strawberry Coastal Clouds E-Juice,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/apple-peach-strawberry-coastal-clouds-e-juice-60ml
orange-vanilla-sunset-lost-mary-mo5000-glitter-edition,Orange Vanilla Sunset - LOST MARY MO5000 *GLITTER EDITION*,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/orange-vanilla-sunset-lost-mary-mo5000-glitter-edition
hawaii-juice-lost-mary-mo5000-glitter-edition,Hawaii Juice - LOST MARY MO5000 *GLITTER EDITION*,False,True,False,False,False,False,False,False,False,False,False,https://vaping.com/products/hawaii-juice-lost-mary-mo5000-glitter-edition
prism-mint-spaceman-prism-20k,Prism Mint SPACEMAN PRISM 20k,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/prism-mint-spaceman-prism-20k
grape-zimo-pouches,Grape - ZIMO Pouches,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/grape-zimo-pouches
smok-novo-3-pods,SMOK Novo 3 Pods,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/smok-novo-3-pods
honolulu-blue-priv-bar-turbo,Honolulu Blue - Priv Bar Turbo,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/honolulu-blue-priv-bar-turbo
strawberry-kiwi-crazyace-b15000,Strawberry Kiwi CrazyAce B15000,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/strawberry-kiwi-crazyace-b15000
strawberry-lemonade-crazyace-b15000,Strawberry Lemonade CrazyAce B15000,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/strawberry-lemonade-crazyace-b15000
