title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
PEACH COBBLER GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,PEACH COBBLER GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Shop Peach Cobbler Granola Bar by Yogi Salts, featuring fresh peaches, crunchy topping, and a deliciously baked crust that will appeal to the tongue.
PEACH COBBLER GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/peach-cobbler-granola-bar-yogi-salts
PEACH COBBLER GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,PEACH COBBLER GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Discover Peach Cobbler Granola Bar by Yogi, mixing together a decadent peach cobbler packed into a granola bar base that will excite the taste buds.
PEACH COBBLER GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/peach-cobbler-granola-bar-yogi
BLACKBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,BLACKBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Check out Blackberry Granola Bar by Yogi Salts, capturing a nicotine salt blend of crunchy granola bar with vibrant ripened blackberries spotted throughout.
BLACKBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/blackberry-granola-bar-yogi-salts
BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop the Blackberry Granola Bar by Yogi, taking notes of ripe blackberries baked into a hearty granola bar base that will excite the taste buds.
BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/blackberry-granola-bar-yogi
STRAWBERRY CRUMBLE - AIR FACTORY SALTS - 30ML,AIR FACTORY,STRAWBERRY CRUMBLE - AIR FACTORY SALTS - 30ML,$10.99,"Shop Strawberry Crumble by Air Factory Salts, blending notes of delicious strawberries and buttery crumble topping inside a nicotine salt delight. 
STRAWBERRY CRUMBLE - AIR FACTORY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 18mg
• 36mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/strawberry-crumble-air-factory-salts
STRAWBERRY CRUMBLE - AIR FACTORY - 60ML,AIR FACTORY,STRAWBERRY CRUMBLE - AIR FACTORY - 60ML,$11.99,"Discover Strawberry Crumble by Air Factory, captivating the tongue with delicious strawberries and buttery crumble topping to tantalize the taste buds.
STRAWBERRY CRUMBLE - AIR FACTORY - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-crumble-air-factory
GLAZED DONUT PEBLZ - POD JUICE - 100ML,POD JUICE,GLAZED DONUT PEBLZ - POD JUICE - 100ML,$13.99,"Discover the Glazed Donut Peblz by Pod Juice, capturing the delicious flavors of glazed donuts rolled in fruity crunchy cereal bits to liven the taste buds.
GLAZED DONUT PEBLZ - POD JUICE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
• 12mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/glazed-donut-peblz-pod-juice
GINGERBREAD CRUNCH - CUSTARD MONSTER SALTS - 30ML,FIND BRAND,GINGERBREAD CRUNCH - CUSTARD MONSTER SALTS - 30ML,$10.99,"Discover Gingerbread Crunch by Custard Monster Salts, a seasonal favorite, capturing decadent flavors of a spiced gingerbread cookie in nicotine salt form.
GINGERBREAD CRUNCH - CUSTARD MONSTER SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 24mg
• 48mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/gingerbread-crunch-custard-monster-salts
GINGERBREAD CRUNCH - CUSTARD MONSTER - 100ML,FIND BRAND,GINGERBREAD CRUNCH - CUSTARD MONSTER - 100ML,$13.99,"Check out Gingerbread Crunch by Custard Monster, delivering the spiced flavors of the holidays, tantalizing the taste buds with gingerbread cookie eLiquid.
GINGERBREAD CRUNCH - CUSTARD MONSTER - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/gingerbread-crunch-custard-monster
BOSS RESERVE - CUTTWOOD SALTS - 30ML,CUTTWOOD,BOSS RESERVE - CUTTWOOD SALTS - 30ML,$10.99,"Discover Boss Reserve by Cuttwood Salts, mixing together notes of graham crackers, sweet milk, bananas, and nutty clusters in a nicotine salt blend.
BOSS RESERVE - CUTTWOOD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/boss-reserve-cuttwood-salts
