title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
STRAWBERRY LEMONADE - ELF VPR120 - 120ML,ELF,STRAWBERRY LEMONADE - ELF VPR120 - 120ML,$14.99,"Discover Strawberry Lemonade by ELF VPR120, capturing the incredible flavor of sweet strawberries muddled into a tall glass of refreshing lemonade.
STRAWBERRY LEMONADE - ELF VPR120 - 120ML FEATURES:
• BOTTLE CAPACITY: 120mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 120mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/strawberry-lemonade-elf-vpr120
SOUR APPLE PEAR - ELF VPR120 - 120ML,ELF,SOUR APPLE PEAR - ELF VPR120 - 120ML,$14.99,"Check out Sour Apple Pear by ELF VPR120, capturing the tart and tangy flavors of sour green apples balanced against the sweet and mellow flavor of pears.
SOUR APPLE PEAR - ELF VPR120 - 120ML FEATURES:
• BOTTLE CAPACITY: 120mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 120mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/sour-apple-pear-elf-vpr120
PURPLE PEACH - ELF VPR120 - 120ML,ELF,PURPLE PEACH - ELF VPR120 - 120ML,$14.99,"Shop Purple Peach by ELF VPR120, the perfect summertime vape that combines sweet juicy peaches bursting with flavor bottled into a delicious e-liquid.
PURPLE PEACH - ELF VPR120 - 120ML FEATURES:
• BOTTLE CAPACITY: 120mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 120mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/purple-peach-elf-vpr120
DRAGONFRUIT WATERMELON - ELF VPR120 - 120ML,ELF,DRAGONFRUIT WATERMELON - ELF VPR120 - 120ML,$14.99,"Shop Dragonfruit Watermelon by ELF VPR120, featuring delicious notes of exotic dragonfruit enhanced with a splash of refreshing summertime watermelon.
DRAGONFRUIT WATERMELON - ELF VPR120 - 120ML FEATURES:
• BOTTLE CAPACITY: 120mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 120mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/dragonfruit-watermelon-elf-vpr120
BLUE RAZZ - ELF VPR120 - 120ML,ELF,BLUE RAZZ - ELF VPR120 - 120ML,$14.99,"Discover Blue Razz by ELF VPR120, featuring a blast of tangy blue raspberries touched by a hint of cream to help round out the tart and tangy flavor.
BLUE RAZZ - ELF VPR120 - 120ML FEATURES:
• BOTTLE CAPACITY: 120mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 120mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",120mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/blue-razz-elf-vpr120
FREEZE PASSIONFRUIT ORANGE GUAVA - JUICE HEAD SALTS - 30ML,JUICE HEAD,FREEZE PASSIONFRUIT ORANGE GUAVA - JUICE HEAD SALTS - 30ML,$10.99,"Shop FREEZE Passionfruit Orange Guava by Juice Head Salts, a mentholated nicotine salt blend featuring tangy passionfruit, zesty oranges, and luscious guavas.
FREEZE PASSIONFRUIT ORANGE GUAVA - JUICE HEAD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/freeze-passionfruit-orange-guava-juice-head-salts
PASSIONFRUIT ORANGE GUAVA - JUICE HEAD SALTS - 30ML,JUICE HEAD,PASSIONFRUIT ORANGE GUAVA - JUICE HEAD SALTS - 30ML,$10.99,"Discover Passionfruit Orange Guava by Juice Head Salts, a nicotine salt blend of tangy passionfruits, zesty oranges, and exotic guavas to dazzle the tongue.
PASSIONFRUIT ORANGE GUAVA - JUICE HEAD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/passionfruit-orange-guava-juice-head-salts
FREEZE PASSIONFRUIT ORANGE GUAVA - JUICE HEAD - 100ML,JUICE HEAD,FREEZE PASSIONFRUIT ORANGE GUAVA - JUICE HEAD - 100ML,$13.99,"Check out FREEZE Passionfruit Orange Guava by Juice Head, frigidly blessing the taste buds with an amalgamation of menthol, passionfruit, orange, and tangy guavas.
FREEZE PASSIONFRUIT ORANGE GUAVA - JUICE HEAD - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/freeze-passionfruit-orange-guava-juice-head
PASSIONFRUIT ORANGE GUAVA - JUICE HEAD - 100ML,JUICE HEAD,PASSIONFRUIT ORANGE GUAVA - JUICE HEAD - 100ML,$13.99,"Shop the Passionfruit Orange Guava by Juice Head, creating an exotic blend of delicious flavors that will tantalize the taste buds a tropical escape.
PASSIONFRUIT ORANGE GUAVA - JUICE HEAD - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase,USA,https://www.elementvape.com/passionfruit-orange-guava-juice-head
FRENCH DUDE - BLUEBERRY BY BREAKFAST CLASSICS - 100ML,FIND BRAND,FRENCH DUDE - BLUEBERRY BY BREAKFAST CLASSICS - 100ML,$13.99,"Check out Blueberry by French Dude, captivating the tongue with delicious notes of vibrant blueberries, maple syrup coated French Toast, and a splash of cream.
FRENCH DUDE - BLUEBERRY BY BREAKFAST CLASSICS - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/blueberry-french-dude
