title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop the Blackberry Granola Bar by Yogi, taking notes of ripe blackberries baked into a hearty granola bar base that will excite the taste buds.
BLACKBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/blackberry-granola-bar-yogi
MOCHA LATTE - INNEVAPE SALTS - 30ML,INNEVAPE,MOCHA LATTE - INNEVAPE SALTS - 30ML,$10.99,"Check out Mocha Latte by Innevape Salts, capturing the creamy flavor of a freshly brewed espresso coupled with a thick splash of melted chocolate.
MOCHA LATTE - INNEVAPE SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 24mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mocha-latte-innevape-salts
MOCHA LATTE - INNEVAPE - 100ML,INNEVAPE,MOCHA LATTE - INNEVAPE - 100ML,$13.99,"Shop Mocha Latte by Innevape, featuring a blend of creamy chocolate syrup mixed into an espresso-flavored eJuice that will tantalize the taste buds.
MOCHA LATTE - INNEVAPE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mgm
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/mocha-latte-innevape
UNICORN MILK - CUTTWOOD SALTS - 30ML,CUTTWOOD,UNICORN MILK - CUTTWOOD SALTS - 30ML,$10.99,"Shop Unicorn Milk by Cuttwood Salts, mixing together sweet strawberries enhanced with smooth creamy milk in a flavorful nicotine salt solution.
UNICORN MILK - CUTTWOOD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/unicorn-milk-cuttwood-salts
BOSS RESERVE - CUTTWOOD SALTS - 30ML,CUTTWOOD,BOSS RESERVE - CUTTWOOD SALTS - 30ML,$10.99,"Discover Boss Reserve by Cuttwood Salts, mixing together notes of graham crackers, sweet milk, bananas, and nutty clusters in a nicotine salt blend.
BOSS RESERVE - CUTTWOOD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/boss-reserve-cuttwood-salts
BIRD BRAINS - CUTTWOOD SALTS - 30ML,CUTTWOOD,BIRD BRAINS - CUTTWOOD SALTS - 30ML,$10.99,"Check out Bird Brains by Cuttwood Salts, a magnificent nicotine salt that replicates a crunchy fruity cereal combined with a creamy milky flavor.
BIRD BRAINS - CUTTWOOD SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/bird-brains-cuttwood-salts
MYSTERY E-LIQUID 100/200ML PACK,FIND BRAND,MYSTERY E-LIQUID 100/200ML PACK,$11.99,"The perfect gift for any vaping enthusiasts or those looking to try new fun flavors, members of the Element Vape community can pick up a Mystery E-Liquid Bag containing premium e-liquid(s) at a  low price in a variety of size option - 100mL & 200mL. These randomly chosen bottles are sure to be a pleasant surprise. No cherry picking, as this would not be a mystery if you knew what you would be getting. The only thing definite is that you will receive some of the industry's most popular and best e-juices at incredible value.
Simply select your desired Mystery Bag size in the drop down menu. Due to the nature of this promotion, no returns or exchanges will be accepted and all sales are final. 
Features:
100mL Mystery Bag - Contains at least 100mL of juices - can be a combination of 60mLs or one bottle of 100mL/120mL.
200mL Mystery Bag - A combination of 60mL, 100mL, and 120mL bottles with at least 200mL of juices!
Premium Brands Available on Our Catalog
Incredible Value
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",,,,,,https://www.elementvape.com/e-liquid-mystery-bag-200ml-edition
MYSTERY NICOTINE SALTS PACK - 60/120ML,FIND BRAND,MYSTERY NICOTINE SALTS PACK - 60/120ML,$19.99,"The ultimate Mystery E-Liquid Pack returns with Nicotine Salts offerings for those looking to try new flavors to pair with your favorite portable devices!
These randomly chosen bottles are sure to be a pleasant surprise. No cherry picking, as this would not be a mystery if you knew what you would be getting. The only thing definite is that you will receive some of the industry's most popular nic salts at incredible value.
Simply select your desired Mystery Bag size in the drop down menu. Due to the nature of this promotion, no returns or exchanges will be accepted and all sales are final. 
Warning: This product is not meant for use in devices that reach sub-ohm resistance. We recommend this liquid to be used in vape pod system and ultra low-output atomizers/mods. Every nicotine salts e-juice contains significantly higher levels of nicotine per milliliter, optimal for beginners or experienced vapers looking for a travel-friendly experience.
Features:
60mL Mystery Pack - Contains at least 60mL of nicotine salts
120mL Mystery Pack - Contains at least 120mL of nicotine salts
Two Nicotine Strength Range: 20mg to 35mg & 36mg to 60mg
Premium Brands Available on Our Catalog
Incredible Value
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",,,,,,https://www.elementvape.com/mystery-nicotine-salts-pack
NUTTY CHOCO CREPE - LOADED E-LIQUID - RUTHLESS VAPORS - 100ML,RUTHLESS,NUTTY CHOCO CREPE - LOADED E-LIQUID - RUTHLESS VAPORS - 100ML,$13.99,"Discover Nutty Choco Crepe - Loaded E-Juice by Ruthless, taking rich chocolate and hazelnut spread inside a delicious French crepe to amaze the taste buds.
Nutty Choco Crepe - Loaded E-Liquid - Ruthless Vapors - 100mL Features:
• Bottle Capacity: 100mL
• PG: 30%
• VG: 70%
• Formulation: Freebase E-Juice
• Available Nicotine: 0mg, 3mg, 6mg
• Ruthless Vapors
Available Options:
0mg, 3mg, 6mg
WARNINGS:
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Element Vape provides Product Information that includes, but is not limited to, technical specifications, recommendations, and other materials for Customer’s convenience in Customer’s selection of Products. The accuracy or completeness of Product Information is not guaranteed and is subject to change without notice.",,70%,30%,,,https://www.elementvape.com/nutty-choco-crepe-loaded
BLUEBERRY DONUT - LOADED E-LIQUID - RUTHLESS VAPORS - 100ML,RUTHLESS,BLUEBERRY DONUT - LOADED E-LIQUID - RUTHLESS VAPORS - 100ML,$13.99,"0Check out Blueberry Donut - Loaded E-Juice by Ruthless, a freshly baked cake donut with sugary glaze, spotted with sweet blueberries to awaken the senses.
Blueberry Donut - Loaded E-Liquid - Ruthless Vapors - 100mL Features:
• Bottle Capacity: 100mL
• PG: 30%
• VG: 70%
• Formulation: Freebase E-Juice
• Available Nicotine: 0mg, 3mg, 6mg
Available Options:
0mg, 3mg, 6mg
WARNINGS:
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. 
Element Vape provides Product Information that includes, but is not limited to, technical specifications, recommendations, and other materials for Customer’s convenience in Customer’s selection of Products. The accuracy or completeness of Product Information is not guaranteed and is subject to change without notice.",,70%,30%,,,https://www.elementvape.com/blueberry-donut-loaded
