tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
cigi-ecigara-bano-5-disposable-device,Cigi Ecigara Bano 3000 Puff Disposable Device,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/cigi-ecigara-bano-5-disposable-device
cigi-plus-5-disposable-device-mango-bango,"Cigi Plus 3000 Puff Disposable Device, Mango Bango",False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/cigi-plus-5-disposable-device-mango-bango
ripe-vapes-palm-3000-puff-disposable-device,Ripe Vapes Palm 3000 Puff Disposable Device,True,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/ripe-vapes-palm-3000-puff-disposable-device
cigi-ecigara-los-ice-5-disposable-device,Cigi Ecigara Los Ice 3000 Puff Disposable Device,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/cigi-ecigara-los-ice-5-disposable-device
flum-pebble-5-disposable,FLUM PEBBLE 6000 Puff Disposable Vape,False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/flum-pebble-5-disposable
elf-bar-bc5000-5-disposable-device,Elf Bar EB Design BC5000 5000 Puff Disposable Device,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/elf-bar-bc5000-5-disposable-device
lost-mary-os5000-5-disposable-device,Lost Mary OS5000 Puff Disposable Device,False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/lost-mary-os5000-5-disposable-device
top-shine-seraph-ultra-5-disposable-device,"Top Shine, Seraph Ultra 6500 Puff Disposable Device",False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/top-shine-seraph-ultra-5-disposable-device
the-puff-brands-hotbox-7500-disposable,The Puff Brands Hotbox 7500 Puff Disposable Device,False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/the-puff-brands-hotbox-7500-disposable
my-shisha-10000-puffs-disposable-vape-freebase,"MY SHISHA 3MG FREEBASE 10,000 PUFFS DISPOSABLE VAPE",False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/my-shisha-10000-puffs-disposable-vape-freebase
7-daze-ohmlet-7000-puff-disposable-vape,7 DAZE OHMLET 7000 PUFF DISPOSABLE VAPE,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/7-daze-ohmlet-7000-puff-disposable-vape
flum-mello-20000-puff-disposable-vape,FLUM Mello 20000 Puff Disposable Vape,False,False,False,False,True,True,False,False,True,True,False,https://csvape.com/products/flum-mello-20000-puff-disposable-vape
funky-republic-ti7000-7000-puff-disposable-device,Funky Lands Ti7000 7000 Puff Disposable Device,False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/funky-republic-ti7000-7000-puff-disposable-device
lost-mary-mt15000-disposable-vape,LOST MARY MT15000 TURBO DISPOSABLE VAPE,False,False,False,False,True,True,False,True,False,False,False,https://csvape.com/products/lost-mary-mt15000-disposable-vape
the-puff-brands-hotbox-luxe-12000-puff-disposable,The Puff Brands Hotbox LUXE 12000 Puff Disposable,True,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/the-puff-brands-hotbox-luxe-12000-puff-disposable
lucid-air-5-disposable-device,Lucid Air 5% Disposable Device,False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/lucid-air-5-disposable-device
innokin-innobar-7000-puff-disposable-device,Innokin Innobar 7000 Puff Disposable Device,False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/innokin-innobar-7000-puff-disposable-device
vape-gang-mega-20000-puffs-disposable-vape,"Vape Gang MEGA 20,000 Puffs Disposable Vape",False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/vape-gang-mega-20000-puffs-disposable-vape
packwood-packspod-5000-puff-disposable,Packwood PACKSPOD 5000 Puff Disposable Vape,False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/packwood-packspod-5000-puff-disposable
aloha-sun-rodman-9100-puff-disposable-device,Aloha Sun Rodman 9100 Puff Disposable Device,False,False,False,False,False,True,False,False,False,False,False,https://csvape.com/products/aloha-sun-rodman-9100-puff-disposable-device
lost-mary-mo20000-pro-5-disposable-device,Lost Mary MO20000 Pro Disposable Vape,False,False,False,False,True,True,False,False,True,True,False,https://csvape.com/products/lost-mary-mo20000-pro-5-disposable-device
fifty-bar-6500-puff-disposable-device,Fifty Bar 6500 Puff Disposable Device,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/fifty-bar-6500-puff-disposable-device
pod-pocket-7500-puff-disposable-device,Pod Pocket 7500 Puff Disposable Device,False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/pod-pocket-7500-puff-disposable-device
hotbox-luxe-pro-20k-5-disposable-device,Hotbox LUXE Pro 20k Disposable Vape,False,False,False,False,True,True,False,True,False,False,False,https://csvape.com/products/hotbox-luxe-pro-20k-5-disposable-device
luffbar-tt9000-puff-disposable,Luffbar TT9000 Puff Disposable,False,False,False,False,True,False,False,True,False,False,False,https://csvape.com/products/luffbar-tt9000-puff-disposable
al-fakher-crown-bar-8000-puffs-disposable-vape,AL FAKHER CROWN BAR 8000 PUFFS DISPOSABLE VAPE,False,False,False,False,True,True,False,False,False,False,False,https://csvape.com/products/al-fakher-crown-bar-8000-puffs-disposable-vape
elf-bar-te6000-5000-puff-disposable-device,Elf Bar EB Design TE6000 6000 Puff Disposable Device,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/elf-bar-te6000-5000-puff-disposable-device
flum-ut-bar-6000-puff-disposable-device,Flum UT Bar 6000 Puff Disposable Device,False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/flum-ut-bar-6000-puff-disposable-device
pod-juice-pod-5500-5-5-tf-disposable-device,"Pod Juice, Pod 5500 5.5% TF Disposable Device",False,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/pod-juice-pod-5500-5-5-tf-disposable-device
kuz-9000-puff-disposable-device,KUZ 9000 Puff Disposable Device,True,False,False,False,True,False,False,False,False,False,False,https://csvape.com/products/kuz-9000-puff-disposable-device
daze-fusion-series-raspberry-green-apple-iced,Daze Fusion Series Raspberry Green Apple Watermelon ICED,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-raspberry-green-apple-iced
daze-fusion-series-raspberry-green-apple,Daze Fusion Series Raspberry Green Apple Watermelon,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-raspberry-green-apple
daze-fusion-series-kiwi-passionfruit-guava-iced,7 Daze Fusion Series Kiwi Passionfruit Guava ICED,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-kiwi-passionfruit-guava-iced
reds-e-juice-watermelon-iced-100ml,Reds E-juice 100mL Watermelon Iced,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/reds-e-juice-watermelon-iced-100ml
daze-fusion-series-pineapple-mango-orange-iced,Daze Fusion Series Pineapple Mango Orange ICED,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-pineapple-mango-orange-iced
daze-fusion-series-strawberry-banana-apple-iced,Daze Fusion Series Strawberry Banana Apple ICED,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-strawberry-banana-apple-iced
daze-fusion-series-kiwi-passionfruit-guava,7 Daze Fusion Series Kiwi Passionfruit Guava,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-kiwi-passionfruit-guava
daze-fusion-series-grape-apple-aloe-iced,7 Daze Fusion Series Grape Apple Aloe ICED,False,False,False,False,False,False,False,False,False,False,False,https://csvape.com/products/daze-fusion-series-grape-apple-aloe-iced
